ADS ,Alliance Data Systems
 ATR ,"AptarGroup, Inc"
 WWW ,Wolverine World Wide Inc.
 ICLR ,ICON plc
 SMG ,Scotts Miracle-Gro Company
 APD ,Air Products and Chemicals
 EFX ,Equifax Inc.
 INFA ,Informatica Corporation
 SHW ,Sherwin-Williams Company
 HUM ,Humana Inc
 HSP ,Hospira Inc.
 EBAY ,eBay Inc.
 MINI ,Mobile Mini Inc.
 MATX ,Matson Inc.
 DENN ,Denny's Corporation
 NATI ,National Instruments Corporation
 EGN ,Energen Corporation
 NVDA ,NVIDIA Corporation
 ITRI ,"Itron, Inc."
 TPX ,Tempur Sealy International
 IPHS ,Innophos Holdings
 OXY ,Occidental Petroleum
 GWW ,W.W. Grainger Inc
 BRCD ,Brocade Communications Systems
 CREE ,Cree Inc.
 LANC ,Lancaster Colony Corporation
 NGD ,New Gold Inc.
 MFB ,Maidenform Brands
 TIBX ,TIBCO Software
 CQB ,Chiquita Brands
 BLK ,BlackRock Inc.
 ETN ,"Eaton Corporation,"
 KMB ,Kimberly-Clark
 MDP ,Meredith Corporation
 RPM ,RPM International Inc.
 LEG ,Leggett & Platt
 WBA ,Walgreens Boots Alliance
 CSCO ,Cisco Systems
 JNJ ,Johnson & Johnson
 HAS ,Hasbro
 GPC ,Genuine Parts Company
 LMT ,Lockheed Martin Corporation
 RAI ,Reynolds American Inc
 SYY ,Sysco Corporation
 EMR ,Emerson Electric Company
 PAYX ,Paychex
 BAX ,Baxter International Inc.
 MSFT ,Microsoft Corporation
 CFR ,Cullen/Frost Bankers Inc.
 UPS ,United Parcel Service Inc.
 T ,AT&T Inc.
 CA ,CA Inc.
 CVX ,Chevron Corporation
 MOLX ,Molex Systems
 TAP ,Molson Coors Brewing Company
 DD ,E.I. du Pont de Nemours
 BAGL ,Einstein Noah Resteraunt
 GEF ,Greif Inc. Class A Common Stock
 AAPL ,Apple Inc.
 MMC ,Marsh & McLennan Companies
 NSC ,Norfolk Southern Corporation
 INTC ,Intel Corporation
 EEP ,Enbridge Energy
 NEM ,Newmont Mining Corporation
 BMRN ,BioMarin Pharmaceuticals
 MON ,Monsanto Company
 CATO ,Cato Corporation
 RBA ,Ritchie Bros. Auctioneers
 MCD ,McDonald's Corporation
 SWK ,Stanley Black & Decker Inc.
 GATX ,GATX Corporation
 ADSK ,Autodesk Inc.
 GLW ,Corning Incorporated
 DLR ,Digital Realty Trust
 LVLT ,Level 3 Communications
 WYNN ,Wynn Resorts Limited
 FDX ,FedEx Corporation
 CNX ,CONSOL Energy Inc.
 UTX ,United Technologies Corporation
 DD ,E.I. du Pont de Nemours
 GHC ,Graham Holdings Company
 VSAT ,ViaSat Inc.
 RL ,Ralph Lauren Corporation
 RE ,Everest Re Group Ltd.
 PHG ,Koninklijke Philips
 RYN ,Rayonier Inc.
 LMCK ,Liberty Media Corporation
 MTN ,Vail Resorts Inc.
 ATU ,Actuant Corporation
 DEL ,Deltic Timber Corporation
 CHK ,Chesapeake Energy Corporation
 BEN ,Franklin Resources Inc.
 BIDU ,"Baidu, Inc."
 CKH ,SEACOR Holdings Inc.
 MPEL ,Melco Crown Entertainment
 AON ,AON plc
 CF ,CF Industries Holdings
 TPLM ,Triangle Petroleum Corporation 
 JOE ,St. Joe Company
 SHLD ,Sears Holdings Corporation
 BAC ,Bank of America Corporation
 LUK ,Leucadia National Corporation
 BRK.B ,Berkshire Hathaway Class B
 RDI ,Reading International Inc
 APD ,Air Products and Chemicals
 CAR ,Avis Budget Group Inc.
 CALL ,magicJack VocalTec Ltd
 JBLU ,JetBlue Airways Corporation
 UNP ,Union Pacific Corporation
 MU ,Micron Technology Inc.
 GE ,General Electric Company
 LOV ,Spark Networks Inc.
 GS ,Goldman Sachs Group Inc.
 CP ,Canadian Pacific Railway
 AAL ,American Airlines Group
 HTZ ,Hertz Global Holdings Inc.
 RAI ,Reynolds American Inc
 CTO ,Consolidated-Tomoka Land Co.
 MO ,Altria Group Inc.
 GOOGL ,Alphabet Inc.
 UNP ,Union Pacific Corporation
 BHI ,Baker Hughes Incorporated
 GD ,General Dynamics Corporation
 KO ,Coca-Cola Company 
 WDC ,Western Digital Corporation
 ARRS ,ARRIS International plc
 PTEN ,Patterson-UTI Energy Inc.
 NBL ,Noble Energy Inc.
 AVT ,Avnet Inc.
 AAN ,"Aaron's, Inc."
 IDCC ,InterDigital Inc.
 DV ,DeVry Education Group Inc.
 XEC ,Cimarex Energy Co
 HP ,Helmerich & Payne Inc.
 RDC ,Rowan Companies plc
 ARW ,Arrow Electronics Inc.
 VECO ,Veeco Instruments Inc.
 AGCO ,AGCO Corporation
 SM ,SM Energy Company
 CUB ,Cubic Corporation
 APOL ,Apollo Education Group Inc.
 OSK ,Oshkosh Corporation
 FL ,Foot Locker Inc.
 UHAL ,Amerco
 NEE ,NextEra Energy Inc.
 DUK ,Duke Energy Corporation
 CMS ,CMS Energy Corporation
 ALL ,Allstate Corporation
 XEL ,Xcel Energy Inc.
 PFE ,"Pfizer, Inc."
 MRK ,Merck & Company Inc.
 IBM ,International Business Machines
 AVA ,Avista Corporation
 ABT ,Abbott Laboratories
 FTK ,Flotek Industries Inc.
 SIRI ,Sirius XM Holdings Inc.
 BG ,Bunge Limited Bunge Limited
 AGN ,Allergan 
 SUPN ,Supernus Pharmaceuticals Inc.
 CPN ,Calpine Corporation
 GANS ,Gainsco Corporation
 EDAP ,EDAP TMS S.A.
 BGEPF ,BUNGE LIMITED
 RLI ,RLI Corporation
 ASH ,Ashland Global Holdings
 AESPRC ,AESPRC Corporation
 PTQEP ,PETROQUEST ENERGY
 ASTC ,Astrotech Corporation
 WEC ,WEC Energy Group Inc.
 ACTA ,Actua Corporation
 ECOL ,US Ecology Inc.
 AGEN ,Agenus Inc.
 GG ,Goldcorp Inc.
 PRGO ,Perrigo Company
 DRRX ,DURECT Corporation
 XOM ,Exxon Mobil Corporation
 K ,Kellogg Company
 PQ ,Petroquest Energy Inc.
 XPL ,Solitario Exploration & Royalty
 TWI ,Titan International Inc.
 AMT ,American Tower Corporation
 MKL ,Markel Corporation
 MA ,Mastercard Incorporated
 MCO ,Moody's Corporation
 DLTR ,Dollar Tree Inc.
 KMX ,CarMax Inc
 V ,Visa Inc.
 ROP ,Roper Technologies Inc.
 ESGR ,Enstar Group Limited
 ORLY ,O'Reilly Automotive Inc.
 SBAC ,SBA Communications Corporation
 LKQ ,LKQ Corporation
 MNRO ,Monro Muffler Brake Inc.
 AMTD ,TD Ameritrade Holdings
 DHR ,Danaher Corporation
 BRK.B ,Berkshire Hathaway Class A
 DHIL ,Diamond Hill Investment Group 
 BRK.A ,Berkshire Hathaway Class A
 ANSS ,ANSYS Inc.
 LAMR ,Lamar Advertising Company
 CSX ,CSX Corporation
 AI ,Arlington Asset Investment
 BRK.B ,Berkshire Hathaway Class B
 WM ,Waste Management Inc.
 CNI ,Canadian National Railway
 CAT ,Caterpillar Inc.
 WMT ,"Wal-Mart Stores, Inc."
 CCI ,Crown Castle International
 ECL ,Ecolab Inc.
 KOF ,Coca Cola Femsa
 UPS ,United Parcel Service Inc.
 FDX ,FedEx Corporation
 TV ,Grupo Televisa S.A.
 WBA ,Walgreens Boots Alliance Inc.
 LBTYK ,Liberty Global
 AN ,AutoNation Inc.
 LBTYA ,Liberty Global
 ARCO ,Arcos Dorados Holdings Inc.
 LILA ,Liberty Global
 PG ,Procter & Gamble 
 FOXA ,Twenty-First Century Fox
 FOX ,Twenty-First Century Fox
 PEP ,Pepsico Inc.
 CSCO ,Cisco Systems Inc.
 ORCL ,Oracle Corporation
 JNJ ,Johnson & Johnson
 KO ,Coca-Cola Company
 SYY ,Sysco Corporation
 MSFT ,Microsoft Corporation
 XOM ,Exxon Mobil Corporation
 USB ,U.S. Bancorp
 COP ,ConocoPhillips
 BK ,Bank of New York Mellon
 AVP ,Avon Products Inc.
 AGK.UK ,Aggreko PLC
 STT ,State Street Corporation
